name,1,2,3,4,5,6,7,8,9,10
FR-inclusion-examples,0,1,2,3,4,,,,,
FR-inclusion-proof,0,1,2,3,4,5,6,,,
FR-IP-a,0,1,2,3,4,5,,,,
FR-IP-b,0,1,2,3,4,5,,,,
FR-IP-c,0,1,2,3,4,,,,,
FR-proof-a,0,1,2,3,4,5,,,,
FR-proof-b,0,1,2,3,4,5,,,,
FR-proof-c,0,1,2,3,4,,,,,
MC-addition-principle-overlap,A,B,C,D,E,,,,,
MC-boolean-dist,A,B,C,D,E,,,,,
MC-congruence,A,B,C,D,E,,,,,
MC-counterex-div,A,B,C,D,E,,,,,
MC-def-odd,A,B,C,D,E,,,,,
MC-negation,A,B,C,D,E,,,,,
MC-powerset,A,B,C,D,E,,,,,
MC-quantifiers,A,B,C,D,E,,,,,
MC-setdifference,A,B,C,D,E,,,,,
MC-TT,A,B,C,D,E,,,,,
MS-deMorgan-vd,A,B,C,D,E,,,,,
MS-divprops,A,B,C,D,E,,,,,
MS-equiv-rel-lists,A,B,C,D,E,,,,,
MS-rel-transitive,A,B,C,D,E,,,,,
TFJ-contrapositive,0,1,2,3,,,,,,
TFJ-prime-or-composite,0,1,2,3,,,,,,
TFJ-subset,0,1,2,3,,,,,,
TFJ-vacuous,0,1,2,3,,,,,,
